X,index,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group_Solo,Features,Week,Total_streams
338,1243,lil mosey,,,,,,,,12/04/2019,177811844
339,1244,fletcher,,,,,,,,12/04/2019,14574969
340,1245,"ellie goulding, diplo) (feat. swae lee, diplo) (feat. swae lee",,,,,,,,12/04/2019,86207188
341,1246,kehlani,,,,,,,Ty Dolla $ign,12/04/2019,69519184
342,1247,nle choppa,,,,,,,,12/04/2019,43566912
343,1248,ozuna,,,,,,,,12/04/2019,82826243
344,1249,dababy,,,,,,,,12/04/2019,119441877
345,1250,yk osiris,,,,,,,,12/04/2019,37856098
346,1251,benny blanco,,,,,,,,12/04/2019,23641415
347,1252,"dj snake, selena gomez, ozuna, cardi b, selena gomez, ozuna, cardi b",,,,,,,,12/04/2019,127415284
348,1253,"schoolboy q, travis scott, travis scott",,,,,,,,12/04/2019,7431567
349,1254,h.e.r.,,,,,,,Daniel Caesar,12/04/2019,104156674
350,1255,anuel aa,,,,,,,,12/04/2019,35796230
351,1256,rosalía,,,,,,,,12/04/2019,5002425
352,1257,alan walker,,,,,,,,12/04/2019,15437830
353,1258,"benny blanco, juice wrld feat. brendon urie, juice wrld",,,,,,,Brendon Urie,12/04/2019,50309105
354,1259,roddy ricch,,,,,,,,12/04/2019,27433064
355,1260,"tory lanez, rich the kid feat. lil wayne, rich the kid",,,,,,,Lil Wayne,12/04/2019,25329239
356,1261,morgan wallen,,,,,,,,12/04/2019,35439846
357,1262,pedro capó,,,,,,,,12/04/2019,27040167
358,1263,lil peep,,,,,,,,12/04/2019,158669004
359,1264,gunna,,,,,,,,12/04/2019,48448222
360,1265,"playboi carti, nicki minaj, nicki minaj",,,,,,,,18/05/2018,1730213
361,1266,"schoolboy q, 2 chainz, saudi, 2 chainz, saudi",,,,,,,,18/05/2018,41594283
362,1267,mason ramsey,,,,,,,,18/05/2018,9704820
363,1268,russell dickerson,,,,,,,,18/05/2018,32602684
364,1269,zac efron,,,,,,,,18/05/2018,45361039
365,1270,keala settle,,,,,,,,18/05/2018,41219169
366,1271,michael bublé,,,,,,,,14/12/2018,64878368
367,1272,band aid,,,,,,,,14/12/2018,31585488
368,1273,"frank sinatra, the b. swanson quartet, the b. swanson quartet",,,,,,,,14/12/2018,35433212
369,1274,"metro boomin, 21 savage, 21 savage",,,,,,,,14/12/2018,108203766
370,1275,"perry como, mitchell ayres, his orchestra, mitchell ayres, his orchestra",,,,,,,,14/12/2018,21954734
371,1276,josé feliciano,,,,,,,,14/12/2018,24651992
372,1277,john lennon,,,,,,,,14/12/2018,23181288
373,1278,brett eldredge,,,,,,,Meghan Trainor,14/12/2018,14603253
374,1279,dean martin,,,,,,,,14/12/2018,33162811
375,1280,"eartha kitt, henri rené, his orchestra, henri rené, his orchestra",,,,,,,,14/12/2018,20673071
376,1281,quavo,,,,,,,,14/12/2018,104360697
377,1282,zara larsson,,,,,,,,14/12/2018,67447382
378,1283,mykola dmytrovych leontovych,,,,,,,,14/12/2018,22420217
379,1284,comethazine,,,,,,,,14/12/2018,34032295
380,1285,"daryl hall, john oates",,,,,,,,14/12/2018,6498808
381,1286,judy garland,,,,,,,,14/12/2018,15044847
382,1287,the 1975,,,,,,,,14/12/2018,6697394
383,1288,the beach boys,,,,,,,,28/12/2018,11162088
384,1289,carpenters,,,,,,,,28/12/2018,7153082
385,1290,the jackson 5,,,,,,,,28/12/2018,5538004
386,1291,thurl ravenscroft,,,,,,,,28/12/2018,4168350
387,1292,pentatonix,,,,,,,,28/12/2018,24173220
388,1293,*nsync,,,,,,,,28/12/2018,5690510
389,1294,vince guaraldi trio,,,,,,,,28/12/2018,16726208
390,1295,"nicki minaj, anuel aa, feat. bantu, anuel aa,",,,,,,,Bantu,28/12/2018,12282705
391,1296,the pogues,,,,,,,Kirsty MacColl,28/12/2018,3371159
392,1297,meghan trainor,,,,,,,,28/12/2018,1882042
393,1298,peter manos,,,,,,,,28/12/2018,6721021
394,1299,chris rea,,,,,,,,28/12/2018,3204671
395,1300,cashmere cat,,,,,,,Ariana Grande,09/06/2017,27274339
396,1301,"g-eazy, g-eazy, kehlani, g-eazy, kehlani",,,,,,,,09/06/2017,25121653
397,1302,mø,,,,,,,,09/06/2017,14994914
398,1303,kiiara,,,,,,,Felix Snow,09/06/2017,19132996
399,1304,shawn hook,,,,,,,,09/06/2017,11143083
400,1305,machine gun kelly,,,,,,,"Quavo, Ty Dolla $ign",09/06/2017,41886666
401,1306,joey bada$$,,,,,,,,09/06/2017,21117049
402,1307,"silk city, dua lipa, dua lipa",,,,,,,,05/10/2018,23983842
403,1308,bryce vine,,,,,,,,05/10/2018,47953421
404,1309,"calvin harris, sam smith, sam smith",,,,,,,,05/10/2018,39467987
405,1310,social house,,,,,,,Lil Yachty,05/10/2018,18770328
406,1311,alesso,,,,,,,,05/10/2018,12910222
407,1312,lauren daigle,,,,,,,,05/10/2018,11729923
408,1313,dynoro,,,,,,,,05/10/2018,24300110
409,1314,why don't we,,,,,,,,05/10/2018,23816761
410,1315,lizzo,,,,,,,,14/06/2019,111306660
411,1316,"ed sheeran, justin bieber, justin bieber",,,,,,,,14/06/2019,67918578
412,1317,lil tecca,,,,,,,,14/06/2019,32216458
413,1318,"the chainsmokers, bebe rexha, bebe rexha",,,,,,,,14/06/2019,20813941
414,1319,lewis capaldi,,,,,,,,14/06/2019,29288277
415,1320,joyner lucas,,,,,,,,14/06/2019,33416721
416,1321,lunay,,,,,,,,14/06/2019,20795473
417,1322,sech,,,,,,,,14/06/2019,15642914
418,1323,"machine gun kelly, yungblud, travis barker, yungblud, travis barker",,,,,,,,14/06/2019,7861127
419,1324,dominic fike,,,,,,,,14/06/2019,28129752
420,1325,"tory lanez, quavo, tyga, quavo, tyga",,,,,,,,14/06/2019,5669133
421,1326,y2k,,,,,,,,28/06/2019,10917190
422,1327,ali gatie,,,,,,,,28/06/2019,12461962
423,1328,blanco brown,,,,,,,,28/06/2019,7830259
424,1329,dreamville,,,,,,,"JID, Bas, J. Cole, EARTHGANG, Young Nudy",28/06/2019,8142384
425,1330,ashley o,,,,,,,,28/06/2019,7967881
426,1331,88-keys,,,,,,,"Mac Miller, Sia",28/06/2019,2305016
427,1332,"dj snake, j. balvin, tyga, j. balvin, tyga",,,,,,,,28/06/2019,6261768
428,1333,sam feldt,,,,,,,RANI,28/06/2019,4955127
429,1334,r3hab,,,,,,,,28/06/2019,8989617
430,1335,jhay cortez,,,,,,,,28/06/2019,4823712
431,1336,chase rice,,,,,,,,28/06/2019,12113822
432,1337,shordie shordie,,,,,,,,28/06/2019,2975972
433,1338,journey,,,,,,,,28/06/2019,3003642
434,1339,loote,,,,,,,,23/06/2017,6240183
435,1340,"summer walker, drake, drake",,,,,,,,05/04/2019,12001122
436,1341,anderson .paak,,,,,,,Kendrick Lamar,12/10/2018,7388461
437,1342,"calvin harris, rag'n'bone man, rag'n'bone man",,,,,,,,18/01/2019,16303875
438,1343,shaed,,,,,,,,18/01/2019,11964174
439,1344,"halsey, juice wrld, juice wrld",,,,,,,,18/01/2019,4018267
440,1345,shoreline mafia,,,,,,,"Ohgeesy, Fenix Flexin, Master Kato",18/01/2019,3155126
441,1346,san holo,,,,,,,,13/01/2017,15447947
442,1347,dj esco,,,,,,,,13/01/2017,11779686
443,1348,dvbbs,,,,,,,,13/01/2017,14226570
444,1349,luke christopher,,,,,,,,13/01/2017,12519148
445,1350,"hearts, colors",,,,,,,,13/01/2017,13758849
446,1351,zay hilfigerrr,,,,,,,,13/01/2017,9907305
447,1352,vice,,,,,,,"Jasmine Thompson, Skizzy Mars",13/01/2017,24728612
448,1353,nevada,,,,,,,,13/01/2017,4665492
449,1354,flume,,,,,,,,13/01/2017,15543940
450,1355,alok,,,,,,,,13/01/2017,10451498
